date,vendor,status,ongoing_incidents,incidents_30d,downtime_30d_min,entry_eur,plan_prices,fingerprints,videos_30d,last_video
2026-08-08,BigCommerce,none,0,7,2186.7,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-08,CloudCart,none,0,2,6.7,14.0,Baby Pack=14.0; Starter Pack=33.0; CC Pro=83.0; CC Master=249.0,,1,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-08,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-08,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-08,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,3,What is Shop? | Shopping designed around you
2026-08-08,Squarespace,none,0,1,87.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace vs Shopify Ecommerce: What's Actually Built In
2026-08-08,Wix,none,0,4,270.5,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-08,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,1,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-09,BigCommerce,none,0,6,1910.8,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-09,CloudCart,none,0,2,6.7,14.0,Baby Pack=14.0; Starter Pack=33.0; CC Pro=83.0; CC Master=249.0,,1,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-09,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-09,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-09,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,3,What is Shop? | Shopping designed around you
2026-08-09,Squarespace,none,0,1,87.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace vs Shopify Ecommerce: What's Actually Built In
2026-08-09,Wix,none,0,4,270.5,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-09,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,1,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-10,BigCommerce,none,0,5,1737.8,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-10,CloudCart,none,0,2,6.7,,,,1,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-10,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-10,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-10,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,3,What is Shop? | Shopping designed around you
2026-08-10,Squarespace,none,0,1,87.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace vs Shopify Ecommerce: What's Actually Built In
2026-08-10,Wix,none,0,4,270.5,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-10,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-11,BigCommerce,none,0,5,1737.8,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-11,CloudCart,none,0,2,6.7,,,,1,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-11,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-11,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-11,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,3,What is Shop? | Shopping designed around you
2026-08-11,Squarespace,none,0,1,87.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace vs Shopify: Which Has Better SEO Tools?
2026-08-11,Wix,none,0,4,270.5,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-11,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
