date,vendor,status,ongoing_incidents,incidents_30d,downtime_30d_min,entry_eur,plan_prices,fingerprints,videos_30d,last_video
2026-09-01,BigCommerce,none,0,6,223.2,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,8,How APG & Co. Increased Shopping ROI by 86% with Feedonomics
2026-09-01,CloudCart,none,0,2,0.8,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-01,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-01,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-01,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,1,What is Shop? | Shopping designed around you
2026-09-01,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace AI Visibility
2026-09-01,Wix,minor,1,3,251.6,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-01,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-02,BigCommerce,none,0,6,223.2,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,9,"New Tech, Same Ol' Humans: The Psychology Behind Commerce"
2026-09-02,CloudCart,none,0,2,0.8,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-02,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-02,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-02,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,1,What is Shop? | Shopping designed around you
2026-09-02,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace AI Visibility
2026-09-02,Wix,none,0,3,458.2,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
